epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
46,222.778,2.45849,2.51752,2.53077,2.53447,0,0.05055,0.40909,0.06144,0.01876,0,0,0,0,2.80202,2.07147,3.48739,3.00466,0,0.0019109,0.0019109,0.0019109
47,227.315,2.44323,2.5707,2.40431,2.54249,0,0.1062,0.36364,0.12227,0.0419,0,0,0,0,2.95728,2.03494,3.12015,3.17959,0,0.00190892,0.00190892,0.00190892
48,231.747,2.41918,2.51295,2.48248,2.5515,0,0.1062,0.36364,0.12227,0.0419,0,0,0,0,2.95728,2.03494,3.12015,3.17959,0,0.00190694,0.00190694,0.00190694
49,236.304,2.35376,2.52293,2.47975,2.53465,0,0.08572,0.27273,0.08087,0.02817,0.0003,0.02273,2e-05,0,2.87103,2.00844,2.93416,3.045,0,0.00190496,0.00190496,0.00190496
50,240.815,2.40616,2.59463,2.48989,2.53495,0,0.10712,0.22727,0.07913,0.02364,0.00062,0.04545,5e-05,1e-05,2.81341,1.90994,2.8706,2.96959,0,0.00190298,0.00190298,0.00190298
51,245.214,2.38954,2.55568,2.47948,2.49855,0,0.0711,0.09091,0.0651,0.01815,0.00096,0.06818,7e-05,1e-05,2.86943,1.90504,2.86507,2.98058,0,0.001901,0.001901,0.001901
52,249.756,2.30503,2.30094,2.40029,2.51793,0,0.10339,0.0814,0.0526,0.01529,0.00097,0.06818,0.00011,1e-05,2.81633,1.96823,2.98415,2.92714,0,0.00189902,0.00189902,0.00189902
53,254.223,2.33469,2.39803,2.43767,2.55572,0,0.01319,0.11364,0.00784,0.0023,0.0003,0.02273,1e-05,0,2.6582,2.07837,3.46866,2.83352,0,0.00189704,0.00189704,0.00189704
54,258.574,2.29202,2.52685,2.42456,2.49743,0,0.01319,0.11364,0.00784,0.0023,0.0003,0.02273,1e-05,0,2.6582,2.07837,3.46866,2.83352,0,0.00189506,0.00189506,0.00189506
55,263.036,2.24139,2.44866,2.44594,2.47919,0,0.0105,0.13636,0.00558,0.00168,0,0,0,0,2.62875,2.1399,3.85622,2.80892,0,0.00189308,0.00189308,0.00189308
56,267.605,2.24769,2.3333,2.35005,2.4464,0,0.0402,0.22727,0.03344,0.01183,0.00061,0.04545,3e-05,0,2.58236,1.98433,3.15741,2.75953,0,0.0018911,0.0018911,0.0018911
57,272.035,2.2469,2.47052,2.41455,2.40752,0,0.17434,0.22727,0.10778,0.02942,0.00182,0.13636,0.00028,3e-05,2.5414,1.91178,2.88465,2.75095,0,0.00188912,0.00188912,0.00188912
58,276.316,2.33644,2.45925,2.48574,2.44456,0,0.15394,0.22727,0.09841,0.0269,0.00091,0.06818,0.0001,1e-05,2.59319,1.92994,2.79169,2.79523,0,0.00188714,0.00188714,0.00188714
59,280.753,2.27307,2.38638,2.41931,2.44416,0,0.15394,0.22727,0.09841,0.0269,0.00091,0.06818,0.0001,1e-05,2.59319,1.92994,2.79169,2.79523,0,0.00188516,0.00188516,0.00188516
60,285.325,2.27982,2.49278,2.46576,2.47373,0,0.23661,0.25,0.14361,0.04434,0.00091,0.06818,0.00015,1e-05,2.48498,1.94599,2.7878,2.73266,0,0.00188318,0.00188318,0.00188318
61,289.769,2.29793,2.49771,2.36857,2.41174,0,0.10601,0.18182,0.06408,0.02304,0.0005,0.02273,0.00017,2e-05,2.51664,2.05074,2.84612,2.69766,0,0.0018812,0.0018812,0.0018812
62,294.195,2.21247,2.47874,2.39599,2.40928,0,0.08038,0.18182,0.04734,0.01653,0.00514,0.02273,0.00048,5e-05,2.61055,2.21821,3.02307,2.75052,0,0.00187922,0.00187922,0.00187922
63,298.566,2.2652,2.44217,2.33055,2.39755,0,0.06575,0.27273,0.03977,0.01136,0,0,0,0,2.58519,2.18106,3.14378,2.7342,0,0.00187724,0.00187724,0.00187724
64,302.952,2.28419,2.33029,2.34019,2.41132,0,0.06575,0.27273,0.03977,0.01136,0,0,0,0,2.58519,2.18106,3.14378,2.7342,0,0.00187526,0.00187526,0.00187526
65,307.534,2.25689,2.50716,2.4166,2.42272,0,0.09771,0.22727,0.05521,0.01374,0,0,0,0,2.53915,2.08992,3.28203,2.73739,0,0.00187328,0.00187328,0.00187328
66,311.889,2.28459,2.53684,2.32955,2.36588,0,0.15861,0.18182,0.10909,0.02768,0,0,0,0,2.61688,2.18747,3.41835,2.79834,0,0.0018713,0.0018713,0.0018713
67,316.349,2.15561,2.39238,2.26902,2.26236,0,0.20418,0.20455,0.14831,0.04661,0.0003,0.02273,1e-05,0,2.63321,2.15493,3.21008,2.74171,0,0.00186932,0.00186932,0.00186932
