epoch,time,train_loss,val_dice,lr
227,2375.4,0.23898,,4.597e-05
228,2385.9,0.216,,4.479e-05
229,2396.3,0.27452,,4.361e-05
230,2407.3,0.25786,0.56408,4.245e-05
231,2417.7,0.24696,,4.131e-05
232,2428.1,0.24748,,4.018e-05
233,2438.5,0.25389,,3.906e-05
234,2449.0,0.25053,,3.795e-05
235,2460.0,0.25991,0.57186,3.686e-05
236,2470.3,0.25464,,3.578e-05
237,2480.7,0.26005,,3.471e-05
238,2491.1,0.28456,,3.366e-05
239,2501.5,0.27606,,3.263e-05
240,2512.7,0.29404,0.54677,3.160e-05
241,2523.0,0.26081,,3.060e-05
242,2533.5,0.25671,,2.960e-05
243,2543.9,0.24919,,2.862e-05
244,2554.3,0.2605,,2.766e-05
245,2565.3,0.24514,0.54548,2.671e-05
246,2575.7,0.23234,,2.578e-05
247,2586.1,0.24339,,2.486e-05
248,2596.5,0.25131,,2.395e-05
249,2606.8,0.24733,,2.306e-05
250,2617.9,0.23462,0.56738,2.219e-05
251,2628.3,0.24144,,2.133e-05
252,2638.8,0.24787,,2.049e-05
253,2649.2,0.26463,,1.966e-05
254,2659.6,0.24292,,1.885e-05
255,2670.7,0.2372,0.55013,1.806e-05
256,2681.2,0.24077,,1.728e-05
257,2691.6,0.24925,,1.652e-05
258,2702.0,0.24698,,1.577e-05
259,2712.6,0.26656,,1.504e-05
260,2723.6,0.25202,0.56060,1.433e-05
261,2734.1,0.24974,,1.363e-05
262,2744.6,0.2227,,1.295e-05
263,2755.0,0.23437,,1.229e-05
264,2765.4,0.2462,,1.164e-05
265,2776.5,0.25054,0.56389,1.101e-05
266,2786.9,0.24837,,1.040e-05
267,2797.3,0.24375,,9.801e-06
268,2807.8,0.23202,,9.222e-06
269,2818.2,0.23997,,8.660e-06
270,2829.4,0.24345,0.57536,8.115e-06
271,2839.8,0.26191,,7.587e-06
272,2850.2,0.24968,,7.077e-06
273,2860.8,0.25045,,6.583e-06
274,2871.3,0.26689,,6.108e-06
275,2882.4,0.23706,0.56833,5.649e-06
276,2892.8,0.25285,,5.209e-06
277,2903.3,0.24246,,4.786e-06
278,2913.8,0.2289,,4.380e-06
279,2924.2,0.22581,,3.992e-06
280,2935.2,0.25312,0.57256,3.622e-06
281,2945.7,0.24479,,3.270e-06
282,2956.1,0.23206,,2.936e-06
283,2966.5,0.26019,,2.619e-06
284,2976.9,0.24677,,2.321e-06
285,2988.0,0.22891,0.57614,2.040e-06
286,2998.5,0.23055,,1.777e-06
287,3008.9,0.24567,,1.533e-06
288,3019.4,0.22965,,1.306e-06
289,3029.8,0.23125,,1.097e-06
290,3040.9,0.25717,0.57530,9.069e-07
291,3051.3,0.24302,,7.346e-07
292,3061.7,0.26824,,5.803e-07
293,3072.1,0.22417,,4.443e-07
294,3082.5,0.2536,,3.264e-07
295,3093.7,0.26547,0.57175,2.266e-07
296,3104.1,0.22747,,1.451e-07
297,3114.5,0.23016,,8.182e-08
298,3125.0,0.25703,,3.672e-08
299,3135.5,0.23848,,9.852e-09
300,3146.6,0.23404,0.57234,1.206e-09
