epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,400.395,2.14618,2.31293,2.28763,2.34094,0,0.08696,0.15909,0.0717,0.02002,0.00152,0.11364,0.00018,4e-05,2.53415,1.90681,3.36809,2.78328,0,0.0015578,0.0015578,0.0015578
69,406.153,2.23183,2.30806,2.28861,2.37471,0,0.05211,0.36364,0.04071,0.00991,0.00061,0.04545,3e-05,0,2.6358,2.00874,3.26136,2.88717,0,0.0015512,0.0015512,0.0015512
70,411.642,2.22788,2.38423,2.44355,2.43859,0,0.05211,0.36364,0.04071,0.00991,0.00061,0.04545,3e-05,0,2.6358,2.00874,3.26136,2.88717,0,0.0015446,0.0015446,0.0015446
71,417.069,2.14841,2.33984,2.4224,2.384,0,0.01956,0.61364,0.02586,0.00622,0.0003,0.02273,2e-05,0,2.80275,2.04171,3.01407,2.99365,0,0.001538,0.001538,0.001538
72,422.576,2.15554,2.29338,2.30671,2.37628,0,0.06348,0.25,0.04048,0.00778,0.00075,0.04545,0.00024,2e-05,2.82186,2.02381,3.04806,2.98701,0,0.0015314,0.0015314,0.0015314
73,428.223,2.16023,2.29031,2.30836,2.36211,0,0.09291,0.25,0.07497,0.02168,0.00152,0.11364,0.00031,4e-05,2.60623,1.9175,2.83173,2.76345,0,0.0015248,0.0015248,0.0015248
74,433.789,2.16694,2.43232,2.27416,2.29093,0,0.12515,0.22727,0.07886,0.02837,0.00149,0.09091,0.00035,6e-05,2.53122,1.80172,2.89439,2.71077,0,0.0015182,0.0015182,0.0015182
75,439.293,2.27503,2.48345,2.364,2.37397,0,0.12515,0.22727,0.07886,0.02837,0.00149,0.09091,0.00035,6e-05,2.53122,1.80172,2.89439,2.71077,0,0.0015116,0.0015116,0.0015116
76,444.762,2.16046,2.4024,2.30614,2.37923,0,0.14874,0.25,0.07822,0.02511,0.00734,0.02273,0.00123,0.00024,2.56267,1.77788,2.8947,2.77559,0,0.001505,0.001505,0.001505
77,450.497,2.1446,2.39265,2.32736,2.3372,0,0.06851,0.20455,0.04053,0.01217,0.00294,0.02273,0.00142,0.00028,2.59068,1.80094,2.90804,2.79686,0,0.0014984,0.0014984,0.0014984
78,456.126,2.14717,2.31581,2.2641,2.32232,0,0.01819,0.22727,0.01338,0.00416,0.00091,0.04545,0.00018,2e-05,2.52656,1.90011,3.08295,2.80579,0,0.0014918,0.0014918,0.0014918
79,461.744,2.08507,2.32861,2.2598,2.24713,0,0.07251,0.15909,0.05529,0.01157,0.00091,0.06818,0.00013,2e-05,2.61756,1.83688,2.96988,2.82772,0,0.0014852,0.0014852,0.0014852
80,467.365,2.23724,2.34192,2.37807,2.40672,0,0.07251,0.15909,0.05529,0.01157,0.00091,0.06818,0.00013,2e-05,2.61756,1.83688,2.96988,2.82772,0,0.0014786,0.0014786,0.0014786
81,472.87,2.19118,2.37818,2.37432,2.38423,0,0.10467,0.22727,0.07235,0.01686,0.00322,0.09091,0.0006,9e-05,2.68599,1.80018,2.85829,2.92016,0,0.001472,0.001472,0.001472
82,478.385,2.16142,2.25791,2.32403,2.36519,0,0.0948,0.56818,0.09331,0.02604,0.00518,0.09091,0.00096,0.00013,2.65742,1.81084,2.84367,2.85607,0,0.0014654,0.0014654,0.0014654
83,484.061,2.09451,2.28055,2.27376,2.35482,0,0.12915,0.43182,0.10582,0.03323,0.00229,0.05699,0.00039,8e-05,2.60366,1.80069,2.69352,2.78523,0,0.0014588,0.0014588,0.0014588
84,489.635,2.10668,2.30213,2.27702,2.32391,0,0.10718,0.36364,0.0983,0.03729,0.00619,0.02273,0.00126,0.00016,2.45179,1.76224,2.63537,2.65442,0,0.0014522,0.0014522,0.0014522
85,495.393,2.06759,2.26573,2.23619,2.24799,0,0.16307,0.29545,0.11042,0.03605,0.00465,0.02273,0.00074,9e-05,2.44654,1.77636,2.61192,2.69527,0,0.0014456,0.0014456,0.0014456
86,500.907,2.13274,2.35495,2.28777,2.32543,0,0.16307,0.29545,0.11042,0.03605,0.00465,0.02273,0.00074,9e-05,2.44654,1.77636,2.61192,2.69527,0,0.001439,0.001439,0.001439
87,506.455,2.059,2.36243,2.27319,2.25686,0,0.14215,0.29545,0.07614,0.02534,0.00486,0.09091,0.00073,0.00011,2.48186,1.81547,2.66414,2.75212,0,0.0014324,0.0014324,0.0014324
88,511.932,2.08824,2.36992,2.21865,2.31472,0,0.13684,0.36031,0.09078,0.0264,0.00282,0.20455,0.00203,0.00043,2.51764,1.80718,2.68481,2.76125,0,0.0014258,0.0014258,0.0014258
89,517.724,2.11806,2.35474,2.19888,2.29721,0,0.09272,0.11364,0.06375,0.02036,0.0044,0.13636,0.00218,0.0004,2.48843,1.84894,2.78292,2.732,0,0.0014192,0.0014192,0.0014192
90,523.289,2.10512,2.33121,2.20549,2.31369,0,0.16338,0.04545,0.05856,0.02093,0.00218,0.13636,0.00099,0.00018,2.59225,1.85952,2.97244,2.82253,0,0.0014126,0.0014126,0.0014126
91,528.857,2.12862,2.21756,2.18971,2.3256,0,0.16338,0.04545,0.05856,0.02093,0.00218,0.13636,0.00099,0.00018,2.59225,1.85952,2.97244,2.82253,0,0.001406,0.001406,0.001406
92,534.395,2.05368,2.20495,2.17895,2.24423,0,0.14354,0.06818,0.06476,0.02514,0.00217,0.15909,0.00046,8e-05,2.58763,1.80519,3.05401,2.80747,0,0.0013994,0.0013994,0.0013994
93,539.935,2.07982,2.276,2.16034,2.26728,0,0.1195,0.06818,0.06006,0.01657,0.00221,0.13636,0.00064,0.0001,2.75522,1.75394,3.0423,2.87115,0,0.0013928,0.0013928,0.0013928
94,545.499,2.04263,2.29182,2.18067,2.22393,0,0.10776,0.18182,0.10275,0.03696,0.00432,0.11364,0.00115,0.00026,2.5731,1.72532,2.82086,2.80775,0,0.0013862,0.0013862,0.0013862
95,551.09,1.96392,2.27157,2.14986,2.2222,0,0.15504,0.31818,0.1276,0.04644,0.00684,0.09091,0.00164,0.00029,2.53688,1.70554,2.66531,2.75374,0,0.0013796,0.0013796,0.0013796
96,556.67,2.14813,2.36886,2.242,2.36637,0,0.15504,0.31818,0.1276,0.04644,0.00684,0.09091,0.00164,0.00029,2.53688,1.70554,2.66531,2.75374,0,0.001373,0.001373,0.001373
97,562.258,2.03277,2.31237,2.16225,2.21229,0,0.16012,0.29545,0.15322,0.04916,0.00675,0.09091,0.00125,0.00022,2.55399,1.70487,2.55727,2.76103,0,0.0013664,0.0013664,0.0013664
98,567.976,1.99001,2.26505,2.13996,2.22207,0,0.17259,0.27273,0.1453,0.05364,0.00403,0.11364,0.00101,0.00015,2.51577,1.71416,2.59261,2.7043,0,0.0013598,0.0013598,0.0013598
99,573.767,2.10797,2.30993,2.14606,2.23677,0,0.13119,0.27273,0.13085,0.04764,0.00384,0.06818,0.00078,0.00011,2.55753,1.75581,2.68801,2.72293,0,0.0013532,0.0013532,0.0013532
100,579.953,2.04235,2.30056,2.11941,2.21042,0,0.10594,0.22727,0.08775,0.02956,0.00074,0.02273,0.00014,2e-05,2.51862,1.84474,2.75505,2.69037,0,0.0013466,0.0013466,0.0013466
101,585.906,1.9903,2.22555,2.04668,2.14561,0,0.0871,0.40909,0.09093,0.02429,0.00383,0.02273,0.00049,0.0001,2.45061,1.87299,2.79662,2.67111,0,0.00134,0.00134,0.00134
102,591.466,2.04104,2.24694,2.13696,2.18908,0,0.0871,0.40909,0.09093,0.02429,0.00383,0.02273,0.00049,0.0001,2.45061,1.87299,2.79662,2.67111,0,0.0013334,0.0013334,0.0013334
103,596.992,2.02869,2.31786,2.12221,2.17644,0,0.09656,0.34091,0.11208,0.03381,0.00464,0.04545,0.00098,0.00018,2.38383,1.77417,2.72294,2.61951,0,0.0013268,0.0013268,0.0013268
104,601.794,2.03293,2.28984,2.02927,2.14202,0,0.1608,0.29545,0.15748,0.05585,0.00572,0.11364,0.00203,0.00032,2.35862,1.7452,2.63602,2.60626,0,0.0013202,0.0013202,0.0013202
105,606.709,1.98127,2.296,2.0587,2.15176,0,0.19299,0.43182,0.15577,0.05122,0.00309,0.22727,0.00133,0.00022,2.50084,1.76503,2.56838,2.65721,0,0.0013136,0.0013136,0.0013136
106,611.519,1.95313,2.27664,2.03031,2.12822,0,0.12196,0.22727,0.12699,0.04275,0.00321,0.11364,0.00079,0.00012,2.42247,1.74673,2.71151,2.62254,0,0.001307,0.001307,0.001307
107,616.236,1.94273,2.24787,2.08292,2.11916,0,0.12196,0.22727,0.12699,0.04275,0.00321,0.11364,0.00079,0.00012,2.42247,1.74673,2.71151,2.62254,0,0.0013004,0.0013004,0.0013004
108,621.04,2.06645,2.30468,2.16049,2.15569,0,0.13894,0.1871,0.11826,0.03824,0.00346,0.13636,0.001,0.00017,2.40929,1.7146,2.82142,2.62135,0,0.0012938,0.0012938,0.0012938
109,625.895,2.02075,2.29171,2.08329,2.13673,0,0.16353,0.22727,0.12653,0.03869,0.00702,0.09091,0.00117,0.00021,2.44619,1.71544,2.79427,2.66453,0,0.0012872,0.0012872,0.0012872
110,630.787,2.08965,2.21609,2.03742,2.18563,0,0.20059,0.31818,0.16487,0.05375,0.01249,0.09091,0.00274,0.00037,2.38782,1.74126,2.54176,2.65955,0,0.0012806,0.0012806,0.0012806
111,635.714,2.10124,2.26047,2.09115,2.24333,0,0.12426,0.34091,0.13602,0.04708,0.00756,0.02273,0.00104,0.00015,2.31044,1.77502,2.54365,2.62101,0,0.001274,0.001274,0.001274
112,640.519,2.02179,2.27513,2.01662,2.14374,0,0.12426,0.34091,0.13602,0.04708,0.00756,0.02273,0.00104,0.00015,2.31044,1.77502,2.54365,2.62101,0,0.0012674,0.0012674,0.0012674
113,645.441,1.95572,2.31463,2.08857,2.15538,0,0.11728,0.27273,0.1138,0.03654,0.00768,0.06818,0.00097,0.00014,2.22065,1.78079,2.56619,2.57115,0,0.0012608,0.0012608,0.0012608
114,650.219,1.87265,2.21661,2.04221,2.06533,0,0.16116,0.26206,0.13576,0.04477,0.00635,0.09091,0.00095,0.00019,2.24201,1.71598,2.55373,2.59661,0,0.0012542,0.0012542,0.0012542
115,655.086,1.96486,2.24851,2.04462,2.15806,0,0.19777,0.31818,0.17441,0.05671,0.00604,0.09091,0.00096,0.00017,2.29636,1.73036,2.76223,2.61083,0,0.0012476,0.0012476,0.0012476
116,659.971,1.91816,2.28796,2.03238,2.11768,0,0.26142,0.22727,0.18456,0.05132,0.00751,0.02273,0.00089,0.00012,2.38523,1.73631,2.89609,2.65087,0,0.001241,0.001241,0.001241
117,664.868,1.8805,2.19453,1.95455,2.11697,0,0.19871,0.22727,0.13996,0.04933,0.00486,0.02273,0.00065,8e-05,2.36347,1.74086,2.84132,2.62734,0,0.0012344,0.0012344,0.0012344
118,669.551,1.93322,2.28883,2.07988,2.11317,0,0.19871,0.22727,0.13996,0.04933,0.00486,0.02273,0.00065,8e-05,2.36347,1.74086,2.84132,2.62734,0,0.0012278,0.0012278,0.0012278
119,674.458,1.93213,2.28932,2.05067,2.13953,0,0.14024,0.22727,0.12165,0.04854,0.00364,0.11364,0.00063,0.00011,2.30688,1.72721,2.65079,2.63119,0,0.0012212,0.0012212,0.0012212
120,679.194,1.88907,2.14856,1.99833,2.12839,0,0.17588,0.18182,0.15887,0.05471,0.01116,0.06818,0.00148,0.00029,2.32004,1.74124,2.50465,2.66745,0,0.0012146,0.0012146,0.0012146
121,683.982,1.97182,2.2045,2.02787,2.17943,0,0.21389,0.29545,0.17176,0.05646,0.04867,0.06818,0.01047,0.00131,2.33682,1.78558,2.53515,2.6644,0,0.001208,0.001208,0.001208
122,688.866,1.96279,2.23258,2.04014,2.14402,0,0.27708,0.25,0.19685,0.08071,0.05196,0.06818,0.0295,0.00314,2.43761,1.80085,2.62889,2.73047,0,0.0012014,0.0012014,0.0012014
123,693.816,2.01702,2.36414,2.08997,2.16771,0,0.27708,0.25,0.19685,0.08071,0.05196,0.06818,0.0295,0.00314,2.43761,1.80085,2.62889,2.73047,0,0.0011948,0.0011948,0.0011948
124,698.621,1.89272,2.2098,1.99827,2.04495,0,0.25385,0.22727,0.16813,0.07696,0.14859,0.02273,0.01563,0.00185,2.4719,1.79135,2.7651,2.76979,0,0.0011882,0.0011882,0.0011882
125,703.416,1.93926,2.13978,2.02118,2.10908,0,0.24903,0.20455,0.1988,0.0831,0.01225,0.04545,0.00149,0.0004,2.42674,1.76921,2.71237,2.67384,0,0.0011816,0.0011816,0.0011816
126,708.256,1.88686,2.2271,1.94835,2.04657,0,0.17744,0.38636,0.16276,0.06388,0.01702,0.11364,0.00273,0.0005,2.35737,1.72317,2.81279,2.60677,0,0.001175,0.001175,0.001175
127,713.158,1.84171,2.054,1.88555,2.01621,0,0.1572,0.33494,0.1342,0.04415,0.02872,0.04545,0.00539,0.00108,2.3384,1.71972,2.86554,2.61291,0,0.0011684,0.0011684,0.0011684
128,717.926,1.91822,2.10595,1.95979,2.05075,0,0.1572,0.33494,0.1342,0.04415,0.02872,0.04545,0.00539,0.00108,2.3384,1.71972,2.86554,2.61291,0,0.0011618,0.0011618,0.0011618
129,722.881,1.91933,2.28744,1.98607,2.04662,0,0.11934,0.27273,0.14311,0.03956,0.0155,0.13636,0.00375,0.00063,2.29616,1.73147,2.95823,2.59365,0,0.0011552,0.0011552,0.0011552
130,727.73,1.90939,2.17179,2.03397,2.09315,0,0.12106,0.43182,0.13532,0.04114,0.01383,0.02273,0.00225,0.00033,2.30484,1.78145,2.85093,2.62662,0,0.0011486,0.0011486,0.0011486
