epoch,time,train_loss,val_dice,lr
258,1194.2,0.22566,,1.573e-05
259,1198.3,0.22853,,1.501e-05
260,1203.0,0.23939,0.55472,1.429e-05
261,1207.0,0.22189,,1.360e-05
262,1211.1,0.21869,,1.292e-05
263,1215.4,0.21073,,1.225e-05
264,1220.2,0.21171,,1.161e-05
265,1225.3,0.21972,0.54884,1.098e-05
266,1229.3,0.25176,,1.037e-05
267,1233.4,0.22668,,9.771e-06
268,1237.5,0.22904,,9.193e-06
269,1241.5,0.23014,,8.631e-06
270,1246.2,0.22089,0.54280,8.087e-06
271,1250.2,0.22094,,7.560e-06
272,1254.2,0.22521,,7.051e-06
273,1258.3,0.22174,,6.559e-06
274,1262.3,0.22157,,6.084e-06
275,1267.0,0.2158,0.55931,5.626e-06
276,1271.0,0.2176,,5.187e-06
277,1275.0,0.20961,,4.764e-06
278,1279.0,0.21374,,4.360e-06
279,1283.0,0.21259,,3.973e-06
280,1287.6,0.22609,0.54638,3.604e-06
281,1291.6,0.22142,,3.253e-06
282,1295.6,0.22521,,2.919e-06
283,1299.6,0.21588,,2.604e-06
284,1303.6,0.21548,,2.306e-06
285,1308.3,0.21354,0.55588,2.026e-06
286,1312.2,0.20255,,1.764e-06
287,1316.2,0.21553,,1.521e-06
288,1320.2,0.22237,,1.295e-06
289,1324.3,0.22646,,1.087e-06
290,1329.0,0.21344,0.55377,8.977e-07
291,1333.0,0.20906,,7.262e-07
292,1337.0,0.21528,,5.729e-07
293,1341.0,0.22893,,4.378e-07
294,1345.0,0.21129,,3.208e-07
295,1349.7,0.20766,0.55322,2.220e-07
296,1353.7,0.22254,,1.414e-07
297,1357.7,0.20746,,7.906e-08
298,1361.8,0.21982,,3.490e-08
299,1365.8,0.20418,,8.965e-09
300,1370.5,0.21721,0.55568,1.254e-09
